"","Year","Gender_Female","Type_code","Total"
"706",2006,1,"Causes",5
"707",2006,1,"Causes",139
"708",2006,1,"Causes",22
"709",2006,1,"Causes",40
"710",2006,1,"Causes",52
"711",2006,1,"Causes",8
"712",2006,1,"Causes",83
"713",2006,1,"Causes",1
"714",2006,1,"Causes",3
"715",2006,1,"Causes",8
"716",2006,1,"Causes",13
"717",2006,1,"Causes",6
"718",2006,1,"Causes",13
"719",2006,1,"Causes",62
"720",2006,1,"Causes",10
"721",2006,1,"Causes",23
"722",2006,1,"Causes",66
"723",2006,1,"Causes",275
"724",2006,1,"Causes",97
"725",2006,1,"Causes",16
"726",2006,1,"Causes",4
"727",2006,1,"Causes",7
"728",2006,1,"Causes",9
"729",2006,1,"Causes",5
"730",2006,1,"Causes",32
"731",2006,1,"Causes",247
"732",2006,1,"Causes",1
"733",2006,1,"Causes",8
"734",2006,1,"Causes",335
"735",2006,1,"Causes",67
"736",2006,1,"Causes",7
"737",2006,1,"Causes",54
"738",2006,1,"Causes",2
"739",2006,1,"Causes",2
"740",2006,1,"Causes",35
"741",2006,1,"Causes",2
"742",2006,1,"Causes",1
"743",2006,1,"Causes",22
"744",2006,1,"Causes",3
"745",2006,1,"Causes",23
"746",2006,1,"Causes",1
"747",2006,1,"Causes",2
"748",2006,1,"Causes",126
"749",2006,1,"Causes",74
"750",2006,1,"Causes",1
"751",2006,1,"Causes",3
"752",2006,1,"Causes",2
"753",2006,1,"Causes",153
"754",2006,1,"Causes",97
"755",2006,1,"Causes",1
"756",2006,1,"Causes",33
"757",2006,1,"Causes",171
"758",2006,1,"Causes",20
"759",2006,1,"Causes",4
"760",2006,1,"Causes",14
"761",2006,1,"Causes",3
"762",2006,1,"Causes",34
"763",2006,1,"Causes",1
"764",2006,1,"Causes",64
"765",2006,1,"Causes",26
"766",2006,1,"Causes",26
"767",2006,1,"Causes",12
"768",2006,1,"Causes",84
"769",2006,1,"Causes",2
"770",2006,1,"Causes",1
"771",2007,1,"Causes",2
"772",2007,1,"Causes",16
"773",2007,1,"Causes",3
"774",2007,1,"Causes",31
"775",2007,1,"Causes",1
"776",2007,1,"Causes",7
"777",2007,1,"Causes",1
"778",2007,1,"Causes",20
"779",2007,1,"Causes",2
"780",2007,1,"Causes",1
"781",2007,1,"Causes",1
"782",2007,1,"Causes",23
"783",2007,1,"Causes",32
"784",2007,1,"Causes",13
"785",2007,1,"Causes",2
"786",2007,1,"Causes",37
"787",2007,1,"Causes",2
"788",2007,1,"Causes",1
"789",2007,1,"Causes",5
"790",2007,1,"Causes",46
"791",2007,1,"Causes",1
"792",2007,1,"Causes",19
"793",2007,1,"Causes",38
"794",2007,1,"Causes",177
"795",2007,1,"Causes",176
"796",2007,1,"Causes",16
"797",2007,1,"Causes",1
"798",2007,1,"Causes",69
"799",2007,1,"Causes",36
"800",2007,1,"Causes",2
"801",2007,1,"Causes",384
"802",2007,1,"Causes",11
"803",2007,1,"Causes",36
"804",2007,1,"Causes",146
"805",2007,1,"Causes",103
"806",2007,1,"Causes",5
"807",2007,1,"Causes",492
"808",2007,1,"Causes",2
"809",2007,1,"Causes",43
"810",2007,1,"Causes",8
"811",2007,1,"Causes",299
"812",2007,1,"Causes",1
"813",2007,1,"Causes",22
"814",2007,1,"Causes",6
"815",2007,1,"Causes",104
"816",2007,1,"Causes",2
"817",2007,1,"Causes",2
"818",2007,1,"Causes",24
"819",2007,1,"Causes",3
"820",2007,1,"Causes",286
"821",2007,1,"Causes",301
"822",2007,1,"Causes",4
"823",2007,1,"Causes",310
"824",2007,1,"Causes",17
"825",2007,1,"Causes",2
"826",2007,1,"Causes",11
"827",2007,1,"Causes",9
"828",2007,1,"Causes",33
"829",2007,1,"Causes",71
"830",2007,1,"Causes",6
"831",2007,1,"Causes",11
"832",2007,1,"Causes",31
"833",2007,1,"Causes",1
"834",2007,1,"Causes",97
"835",2007,1,"Causes",8
"836",2007,1,"Causes",15
"837",2007,1,"Causes",96
"838",2007,1,"Causes",77
"839",2007,1,"Causes",3
"840",2007,1,"Causes",25
"841",2007,1,"Causes",6
"842",2007,1,"Causes",19
"843",2007,1,"Causes",122
"844",2007,1,"Causes",3
"845",2007,1,"Causes",10
"846",2007,1,"Causes",2
"847",2007,1,"Causes",8
"848",2007,1,"Causes",2
"849",2007,1,"Causes",74
"850",2007,1,"Causes",61
"851",2007,1,"Causes",153
"852",2007,1,"Causes",3
"853",2007,1,"Causes",56
"854",2007,1,"Causes",180
"855",2007,1,"Causes",95
"856",2007,1,"Causes",1
"857",2007,1,"Causes",2
"858",2007,1,"Causes",40
"859",2007,1,"Causes",3
"860",2007,1,"Causes",15
"861",2007,1,"Causes",9
"862",2007,1,"Causes",48
"863",2007,1,"Causes",21
"864",2007,1,"Causes",69
"865",2007,1,"Causes",1
"866",2007,1,"Causes",30
"867",2007,1,"Causes",12
"868",2008,1,"Causes",5
"869",2008,1,"Causes",5
"870",2008,1,"Causes",12
"871",2008,1,"Causes",10
"872",2008,1,"Causes",24
"873",2008,1,"Causes",12
"874",2008,1,"Causes",16
"875",2008,1,"Causes",2
"876",2008,1,"Causes",3
"877",2008,1,"Causes",33
"878",2008,1,"Causes",20
"879",2008,1,"Causes",93
"880",2008,1,"Causes",1
"881",2008,1,"Causes",16
"882",2008,1,"Causes",503
"883",2008,1,"Causes",351
"884",2008,1,"Causes",18
"885",2008,1,"Causes",1
"886",2008,1,"Causes",62
"887",2008,1,"Causes",1
"888",2008,1,"Causes",2
"889",2008,1,"Causes",272
"890",2008,1,"Causes",65
"891",2008,1,"Causes",10
"892",2008,1,"Causes",12
"893",2008,1,"Causes",6
"894",2008,1,"Causes",155
"895",2008,1,"Causes",112
"896",2008,1,"Causes",26
"897",2008,1,"Causes",6
"898",2008,1,"Causes",10
"899",2008,1,"Causes",127
"900",2008,1,"Causes",13
"901",2008,1,"Causes",2
"902",2008,1,"Causes",7
"903",2008,1,"Causes",29
"904",2008,1,"Causes",2
"905",2008,1,"Causes",126
"906",2008,1,"Causes",25
"907",2008,1,"Causes",95
"908",2008,1,"Causes",334
"909",2008,1,"Causes",5
"910",2008,1,"Causes",2
"911",2008,1,"Causes",1
"912",2008,1,"Causes",17
"913",2008,1,"Causes",347
"914",2008,1,"Causes",3
"915",2008,1,"Causes",53
"916",2008,1,"Causes",7
"917",2008,1,"Causes",12
"918",2008,1,"Causes",52
"919",2008,1,"Causes",19
"920",2008,1,"Causes",36
"921",2008,1,"Causes",10
"922",2008,1,"Causes",7
"923",2008,1,"Causes",393
"924",2008,1,"Causes",816
"925",2008,1,"Causes",6
"926",2008,1,"Causes",6
"927",2008,1,"Causes",21
"928",2008,1,"Causes",28
"929",2008,1,"Causes",5
